time,mode,event,details
2026-09-14T22:37:12.672121,live,order_failed,"{""key"": ""startup_reconcile/2026-09-14T22:37:10.942735/4"", ""error_type"": ""BrokerOrderError""}"
2026-09-14T22:37:24.500899,live,order_failed,"{""key"": ""startup_reconcile/2026-09-14T22:37:22.837734/4"", ""error_type"": ""BrokerOrderError""}"
2026-09-14T22:37:36.341574,live,order_failed,"{""key"": ""startup_reconcile/2026-09-14T22:37:34.675557/4"", ""error_type"": ""BrokerOrderError""}"
2026-09-14T22:37:48.095268,live,order_failed,"{""key"": ""startup_reconcile/2026-09-14T22:37:46.491750/4"", ""error_type"": ""BrokerOrderError""}"
2026-09-14T22:37:59.883440,live,order_failed,"{""key"": ""startup_reconcile/2026-09-14T22:37:58.239177/4"", ""error_type"": ""BrokerOrderError""}"
2026-09-14T22:38:11.846205,live,order_failed,"{""key"": ""startup_reconcile/2026-09-14T22:38:10.032417/4"", ""error_type"": ""BrokerOrderError""}"
2026-09-14T22:38:23.617292,live,order_failed,"{""key"": ""startup_reconcile/2026-09-14T22:38:21.989126/4"", ""error_type"": ""BrokerOrderError""}"
2026-09-14T22:38:35.468522,live,order_failed,"{""key"": ""startup_reconcile/2026-09-14T22:38:33.800197/3"", ""error_type"": ""BrokerOrderError""}"
2026-09-14T22:38:35.475289,live,alert,"{""message"": ""目標 3 口委託未確認（BrokerOrderError）；持續監控，10 秒後自動重新對帳並依最新目標補差額""}"
2026-09-14T22:38:47.372019,live,order_failed,"{""key"": ""startup_reconcile/2026-09-14T22:38:45.605324/3"", ""error_type"": ""BrokerOrderError""}"
2026-09-14T22:39:13.693205,live,order_failed,"{""key"": ""signal/2026-09-14T22:15:03/949/1"", ""error_type"": ""BrokerOrderError""}"
2026-09-14T22:39:13.700605,live,alert,"{""message"": ""目標 1 口委託未確認（BrokerOrderError）；持續監控，10 秒後自動重新對帳並繼續逐筆處理訊號""}"
2026-09-14T22:39:25.568336,live,order_failed,"{""key"": ""signal/2026-09-14T22:15:03/949/1"", ""error_type"": ""BrokerOrderError""}"
2026-09-14T22:39:37.360660,live,order_failed,"{""key"": ""signal/2026-09-14T22:15:03/949/1"", ""error_type"": ""BrokerOrderError""}"
2026-09-14T22:39:49.172311,live,order_failed,"{""key"": ""signal/2026-09-14T22:15:03/949/1"", ""error_type"": ""BrokerOrderError""}"
2026-09-14T22:40:01.290139,live,order_failed,"{""key"": ""signal/2026-09-14T22:15:03/949/1"", ""error_type"": ""BrokerOrderError""}"
2026-09-14T22:40:13.133544,live,order_failed,"{""key"": ""signal/2026-09-14T22:15:03/949/1"", ""error_type"": ""BrokerOrderError""}"
2026-09-14T22:40:24.925625,live,order_failed,"{""key"": ""signal/2026-09-14T22:15:03/949/1"", ""error_type"": ""BrokerOrderError""}"
2026-09-14T22:40:36.837018,live,order_failed,"{""key"": ""signal/2026-09-14T22:15:03/949/1"", ""error_type"": ""BrokerOrderError""}"
2026-09-14T22:40:48.619834,live,order_failed,"{""key"": ""signal/2026-09-14T22:15:03/949/1"", ""error_type"": ""BrokerOrderError""}"
2026-09-14T22:41:00.415247,live,order_failed,"{""key"": ""signal/2026-09-14T22:15:03/949/1"", ""error_type"": ""BrokerOrderError""}"
2026-09-14T22:41:12.337626,live,order_failed,"{""key"": ""signal/2026-09-14T22:15:03/949/1"", ""error_type"": ""BrokerOrderError""}"
2026-09-14T22:41:24.113527,live,order_failed,"{""key"": ""signal/2026-09-14T22:15:03/949/1"", ""error_type"": ""BrokerOrderError""}"
2026-09-14T22:41:36.005420,live,order_failed,"{""key"": ""signal/2026-09-14T22:15:03/949/1"", ""error_type"": ""BrokerOrderError""}"
2026-09-14T22:41:47.802236,live,order_failed,"{""key"": ""signal/2026-09-14T22:15:03/949/1"", ""error_type"": ""BrokerOrderError""}"
2026-09-14T22:41:59.640952,live,order_failed,"{""key"": ""signal/2026-09-14T22:15:03/949/1"", ""error_type"": ""BrokerOrderError""}"
2026-09-14T22:42:11.527807,live,order_failed,"{""key"": ""signal/2026-09-14T22:15:03/949/1"", ""error_type"": ""BrokerOrderError""}"
2026-09-14T22:42:23.641034,live,order_failed,"{""key"": ""signal/2026-09-14T22:15:03/949/1"", ""error_type"": ""BrokerOrderError""}"
2026-09-14T22:42:35.572706,live,order_failed,"{""key"": ""signal/2026-09-14T22:15:03/949/1"", ""error_type"": ""BrokerOrderError""}"
2026-09-14T22:42:47.497242,live,order_failed,"{""key"": ""signal/2026-09-14T22:15:03/949/1"", ""error_type"": ""BrokerOrderError""}"
2026-09-14T22:42:59.438895,live,order_failed,"{""key"": ""signal/2026-09-14T22:15:03/949/1"", ""error_type"": ""BrokerOrderError""}"
2026-09-14T22:43:11.335242,live,order_failed,"{""key"": ""signal/2026-09-14T22:15:03/949/1"", ""error_type"": ""BrokerOrderError""}"
2026-09-14T22:43:23.314289,live,order_failed,"{""key"": ""signal/2026-09-14T22:15:03/949/1"", ""error_type"": ""BrokerOrderError""}"
2026-09-14T22:43:35.453061,live,order_failed,"{""key"": ""signal/2026-09-14T22:15:03/949/1"", ""error_type"": ""BrokerOrderError""}"
2026-09-14T22:43:47.303462,live,order_failed,"{""key"": ""signal/2026-09-14T22:15:03/949/1"", ""error_type"": ""BrokerOrderError""}"
2026-09-14T22:43:59.077604,live,order_failed,"{""key"": ""signal/2026-09-14T22:15:03/949/1"", ""error_type"": ""BrokerOrderError""}"
2026-09-14T22:44:10.972775,live,order_failed,"{""key"": ""signal/2026-09-14T22:15:03/949/1"", ""error_type"": ""BrokerOrderError""}"
2026-09-14T22:44:22.876871,live,order_failed,"{""key"": ""signal/2026-09-14T22:15:03/949/1"", ""error_type"": ""BrokerOrderError""}"
2026-09-14T22:44:34.673640,live,order_failed,"{""key"": ""signal/2026-09-14T22:15:03/949/1"", ""error_type"": ""BrokerOrderError""}"
2026-09-14T22:44:46.563955,live,order_failed,"{""key"": ""signal/2026-09-14T22:15:03/949/1"", ""error_type"": ""BrokerOrderError""}"
2026-09-14T22:44:58.470819,live,order_failed,"{""key"": ""signal/2026-09-14T22:15:03/949/1"", ""error_type"": ""BrokerOrderError""}"
2026-09-14T22:45:32.981146,live,startup_discard_previous_attempt,"{""previous"": {""key"": ""signal/2026-09-14T22:15:03/949/1"", ""id"": ""4c8a52c767a74cb39f2ac2d3e0be17af"", ""status"": ""failed"", ""target"": 1, ""at"": ""2026-09-14T22:44:56.712989"", ""error_type"": ""BrokerOrderError"", ""retry_at"": ""2026-09-14T22:45:08.460346""}}"
2026-09-14T22:55:00.424606,live,order_failed,"{""key"": ""signal/2026-09-14T22:54:55/952"", ""error_type"": ""BrokerOrderError""}"
2026-09-14T22:55:00.431444,live,alert,"{""message"": ""目標 None 口委託未確認（BrokerOrderError）；持續監控，10 秒後自動重新對帳並繼續逐筆處理訊號""}"
2026-09-14T22:55:12.628945,live,order_failed,"{""key"": ""signal/2026-09-14T22:54:55/952"", ""error_type"": ""BrokerOrderError""}"
2026-09-14T22:55:12.636286,live,alert,"{""message"": ""目標 -1 口委託未確認（BrokerOrderError）；持續監控，10 秒後自動重新對帳並繼續逐筆處理訊號""}"
2026-09-14T22:55:24.351143,live,order_failed,"{""key"": ""signal/2026-09-14T22:54:55/952"", ""error_type"": ""BrokerOrderError""}"
2026-09-14T22:55:36.284274,live,order_failed,"{""key"": ""signal/2026-09-14T22:54:55/952"", ""error_type"": ""BrokerOrderError""}"
2026-09-14T22:55:48.153826,live,order_failed,"{""key"": ""signal/2026-09-14T22:54:55/952"", ""error_type"": ""BrokerOrderError""}"
2026-09-14T22:55:59.949181,live,order_failed,"{""key"": ""signal/2026-09-14T22:54:55/952"", ""error_type"": ""BrokerOrderError""}"
2026-09-14T22:56:11.797431,live,order_failed,"{""key"": ""signal/2026-09-14T22:54:55/952"", ""error_type"": ""BrokerOrderError""}"
2026-09-14T22:56:23.613652,live,order_failed,"{""key"": ""signal/2026-09-14T22:54:55/952"", ""error_type"": ""BrokerOrderError""}"
2026-09-14T22:56:35.369409,live,order_failed,"{""key"": ""signal/2026-09-14T22:54:55/952"", ""error_type"": ""BrokerOrderError""}"
2026-09-14T22:56:47.167476,live,order_failed,"{""key"": ""signal/2026-09-14T22:54:55/952"", ""error_type"": ""BrokerOrderError""}"
2026-09-14T22:56:59.046450,live,order_failed,"{""key"": ""signal/2026-09-14T22:54:55/952"", ""error_type"": ""BrokerOrderError""}"
2026-09-14T22:57:10.989733,live,order_failed,"{""key"": ""signal/2026-09-14T22:54:55/952"", ""error_type"": ""BrokerOrderError""}"
2026-09-14T22:57:22.815859,live,order_failed,"{""key"": ""signal/2026-09-14T22:54:55/952"", ""error_type"": ""BrokerOrderError""}"
2026-09-14T22:57:34.630260,live,order_failed,"{""key"": ""signal/2026-09-14T22:54:55/952"", ""error_type"": ""BrokerOrderError""}"
2026-09-14T22:57:46.502191,live,order_failed,"{""key"": ""signal/2026-09-14T22:54:55/952"", ""error_type"": ""BrokerOrderError""}"
2026-09-14T22:57:58.427633,live,order_failed,"{""key"": ""signal/2026-09-14T22:54:55/952"", ""error_type"": ""BrokerOrderError""}"
2026-09-14T22:58:10.199611,live,order_failed,"{""key"": ""signal/2026-09-14T22:54:55/952"", ""error_type"": ""BrokerOrderError""}"
2026-09-14T22:58:22.077374,live,order_failed,"{""key"": ""signal/2026-09-14T22:54:55/952"", ""error_type"": ""BrokerOrderError""}"
2026-09-14T22:58:34.095603,live,order_failed,"{""key"": ""signal/2026-09-14T22:54:55/952"", ""error_type"": ""BrokerOrderError""}"
2026-09-14T22:58:46.195121,live,order_failed,"{""key"": ""signal/2026-09-14T22:54:55/952"", ""error_type"": ""BrokerOrderError""}"
2026-09-14T22:58:58.181541,live,order_failed,"{""key"": ""signal/2026-09-14T22:54:55/952"", ""error_type"": ""BrokerOrderError""}"
2026-09-14T22:59:09.944331,live,order_failed,"{""key"": ""signal/2026-09-14T22:54:55/952"", ""error_type"": ""BrokerOrderError""}"
2026-09-14T22:59:21.864443,live,order_failed,"{""key"": ""signal/2026-09-14T22:54:55/952"", ""error_type"": ""BrokerOrderError""}"
2026-09-14T22:59:33.695296,live,order_failed,"{""key"": ""signal/2026-09-14T22:54:55/952"", ""error_type"": ""BrokerOrderError""}"
2026-09-14T22:59:45.658741,live,order_failed,"{""key"": ""signal/2026-09-14T22:54:55/952"", ""error_type"": ""BrokerOrderError""}"
2026-09-14T22:59:57.420482,live,order_failed,"{""key"": ""signal/2026-09-14T22:54:55/952"", ""error_type"": ""BrokerOrderError""}"
2026-09-14T23:00:09.481259,live,order_failed,"{""key"": ""signal/2026-09-14T22:54:55/952"", ""error_type"": ""BrokerOrderError""}"
