timestamp,action,side,price,pnl_points,reason,target_price,stop_price,signal_time
2026-07-01 09:11:00,enter,bull,47346.0,,regression_channel_deviation,47543.29234972677,47246.0,2026-07-01 09:09:00
2026-07-01 09:13:00,exit,bull,47246.0,-100.0,fixed_stop,,,
2026-07-02 09:08:00,enter,bear,46376.0,,regression_channel_deviation,46163.98306010929,46476.0,2026-07-02 09:06:00
2026-07-02 09:19:00,exit,bear,46476.0,-100.0,fixed_stop,,,
2026-07-02 11:10:00,enter,bull,46641.0,,regression_channel_deviation,46798.58743169398,46541.0,2026-07-02 11:08:00
2026-07-02 12:11:00,exit,bull,46541.0,-100.0,fixed_stop,,,
2026-07-03 09:03:00,enter,bear,45928.0,,regression_channel_deviation,45804.94426229508,46028.0,2026-07-03 09:02:00
2026-07-03 09:04:00,exit,bear,46028.0,-100.0,fixed_stop,,,
2026-07-06 09:59:00,enter,bull,47158.0,,regression_channel_deviation,47322.66830601093,47058.0,2026-07-06 09:57:00
2026-07-06 10:04:00,exit,bull,47322.66830601093,164.66830601092806,regression_center,,,
2026-07-06 10:14:00,enter,bull,47024.0,,regression_channel_deviation,47254.25573770492,46924.0,2026-07-06 10:12:00
2026-07-06 10:29:00,exit,bull,46924.0,-100.0,fixed_stop,,,
2026-07-06 11:37:00,enter,bear,46940.0,,regression_channel_deviation,46812.2174863388,47040.0,2026-07-06 11:35:00
2026-07-06 11:42:00,exit,bear,46812.2174863388,127.78251366120094,regression_center,,,
2026-07-07 09:48:00,enter,bear,47163.0,,regression_channel_deviation,46904.795081967204,47263.0,2026-07-07 09:46:00
2026-07-07 10:14:00,exit,bear,46904.795081967204,258.20491803279583,regression_center,,,
2026-07-08 11:47:00,enter,bull,45704.0,,regression_channel_deviation,45825.77486338798,45604.0,2026-07-08 11:45:00
2026-07-08 11:51:00,exit,bull,45604.0,-100.0,fixed_stop,,,
2026-07-08 13:08:00,enter,bear,45628.0,,regression_channel_deviation,45472.10710382514,45728.0,2026-07-08 13:06:00
2026-07-08 13:20:00,exit,bear,45612.0,16.0,13:20_force_flat,,,
2026-07-09 08:52:00,enter,bear,45926.0,,regression_channel_deviation,45765.419672131145,46026.0,2026-07-09 08:50:00
2026-07-09 09:00:00,exit,bear,45765.419672131145,160.5803278688545,regression_center,,,
2026-07-09 12:28:00,enter,bull,45626.0,,regression_channel_deviation,45856.50819672131,45526.0,2026-07-09 12:26:00
2026-07-09 13:20:00,exit,bull,45573.0,-53.0,13:20_force_flat,,,
2026-07-14 11:55:00,enter,bear,44347.0,,regression_channel_deviation,44140.30054644809,44447.0,2026-07-14 11:53:00
2026-07-14 12:00:00,exit,bear,44447.0,-100.0,fixed_stop,,,
2026-07-15 08:53:00,enter,bear,45647.0,,regression_channel_deviation,45457.38415300546,45747.0,2026-07-15 08:51:00
2026-07-15 09:03:00,exit,bear,45457.38415300546,189.6158469945367,regression_center,,,
2026-07-16 09:58:00,enter,bear,45484.0,,regression_channel_deviation,45343.92622950819,45584.0,2026-07-16 09:56:00
2026-07-16 09:59:00,exit,bear,45343.92622950819,140.0737704918065,regression_center,,,
2026-07-16 10:25:00,enter,bear,45591.0,,regression_channel_deviation,45404.81967213114,45691.0,2026-07-16 10:23:00
2026-07-16 10:35:00,exit,bear,45691.0,-100.0,fixed_stop,,,
2026-07-17 11:07:00,enter,bear,43991.0,,regression_channel_deviation,43818.071038251364,44091.0,2026-07-17 11:05:00
2026-07-17 11:36:00,exit,bear,43818.071038251364,172.92896174863563,regression_center,,,
2026-07-20 11:52:00,enter,bear,43104.0,,regression_channel_deviation,42907.70765027322,43204.0,2026-07-20 11:51:00
2026-07-20 11:54:00,exit,bear,43204.0,-100.0,fixed_stop,,,
2026-07-20 13:06:00,enter,bull,42870.0,,regression_channel_deviation,43146.1431693989,42770.0,2026-07-20 13:04:00
2026-07-20 13:11:00,exit,bull,42770.0,-100.0,fixed_stop,,,
