received_at,event_key,account,strategy_code,source,action,previous_position,new_position,state_reconciled,raw_message
2026-08-21 21:35:38,8855908410:367412,6008770,CFCTX21m,群益Telegram,多單進場,0,1,False,"【08.21 21:35:37】
【訊號通知】【群益】
【6008770】
《策略》CFCTX21m《倉位》0.0 -> 1.0"
2026-08-21 21:37:36,8855908410:367414,6008770,CFCCPm,群益Telegram,空單平倉,-1,0,False,"【08.21 21:37:35】
【訊號通知】【群益】
【6008770】
《策略》CFCCPm《倉位》-1.0 -> 0.0"
2026-08-21 21:49:57,8855908410:367416,6008770,CFCTX16m,群益Telegram,空單進場,0,-1,False,"【08.21 21:49:56】
【訊號通知】【群益】
【6008770】
《策略》CFCTX16m《倉位》0.0 -> -1.0"
2026-08-21 21:49:57,8855908410:367418,6008770,CFC07m,群益Telegram,空單進場,0,-1,False,"【08.21 21:49:56】
【訊號通知】【群益】
【6008770】
《策略》CFC07m《倉位》0.0 -> -1.0"
2026-08-21 23:45:04,8855908410:367423,6008770,CFCWIN01m,群益Telegram,多單平倉並轉空,1,-1,False,"【08.21 23:45:03】
【訊號通知】【群益】
【6008770】
《策略》CFCWN01m《倉位》1.0 -> -1.0"
2026-08-22 02:00:42,8855908410:367425,6008770,CFCTX17m,群益Telegram,多單進場,0,1,False,"【08.22 02:00:41】
【訊號通知】【群益】
【6008770】
《策略》CFCTX17m《倉位》0.0 -> 1.0"
2026-08-22 04:00:03,8855908410:367429,6008770,CFCTX16m,群益Telegram,空單平倉,-1,0,False,"【08.22 04:00:02】
【訊號通知】【群益】
【6008770】
《策略》CFCTX16m《倉位》-1.0 -> 0.0"
2026-08-24 09:16:00,8855908410:367528,6008770,CFC07m,群益Telegram,空單平倉,-1,0,False,"【08.24 09:15:58】
【訊號通知】【群益】
【6008770】
《策略》CFC07m《倉位》-1.0 -> 0.0"
2026-08-24 09:58:36,8855908410:367554,6008770,CFCTX17m,群益Telegram,多單平倉,1,0,False,"【08.24 09:58:34】
【訊號通知】【群益】
【6008770】
《策略》CFCTX17m《倉位》1.0 -> 0.0"
2026-08-24 09:58:36,8855908410:367555,6008770,CFCTX19m,群益Telegram,多單平倉並轉空,1,-1,False,"【08.24 09:58:35】
【訊號通知】【群益】
【6008770】
《策略》CFCTX19m《倉位》1.0 -> -1.0"
2026-08-24 10:00:04,8855908410:367559,6008770,CFCTX22m,群益Telegram,多單平倉,1,0,False,"【08.24 10:00:03】
【訊號通知】【群益】
【6008770】
《策略》CFCTX22m《倉位》1.0 -> 0.0"
2026-08-24 12:00:17,8855908410:367768,6008770,CFCTX16m,群益Telegram,空單進場,0,-1,False,"【08.24 12:00:16】
【訊號通知】【群益】
【6008770】
《策略》CFCTX16m《倉位》0.0 -> -1.0"
2026-08-24 12:00:28,8855908410:367771,6008770,CFC07m,群益Telegram,空單進場,0,-1,False,"【08.24 12:00:27】
【訊號通知】【群益】
【6008770】
《策略》CFC07m《倉位》0.0 -> -1.0"
2026-08-24 13:44:15,8855908410:367784,6008770,CFCWIN01m,群益Telegram,空單平倉,-1,0,False,"【08.24 13:44:14】
【訊號通知】【群益】
【6008770】
《策略》CFCWN01m《倉位》-1.0 -> 0.0"
2026-08-24 16:00:11,8855908410:367970,6008770,CFCTX17m,群益Telegram,空單進場,0,-1,False,"【08.24 16:00:10】
【訊號通知】【群益】
【6008770】
《策略》CFCTX17m《倉位》0.0 -> -1.0"
2026-08-24 16:01:58,8855908410:367971,6008770,CFCTX21m,群益Telegram,多單平倉,1,0,False,"【08.24 16:01:57】
【訊號通知】【群益】
【6008770】
《策略》CFCTX21m《倉位》1.0 -> 0.0"
2026-08-24 19:35:09,8855908410:368084,6008770,CFCTX18m,群益Telegram,多單進場,0,1,False,"【08.24 19:35:08】
【訊號通知】【群益】
【6008770】
《策略》CFCTX18m《倉位》0.0 -> 1.0"
2026-08-24 19:35:09,8855908410:368086,6008770,CFCCPm,群益Telegram,多單進場,0,1,False,"【08.24 19:35:08】
【訊號通知】【群益】
【6008770】
《策略》CFCCPm《倉位》0.0 -> 1.0"
2026-08-24 19:38:37,8855908410:368100,6008770,CFCTX19m,群益Telegram,空單平倉並轉多,-1,1,False,"【08.24 19:38:35】
【訊號通知】【群益】
【6008770】
《策略》CFCTX19m《倉位》-1.0 -> 1.0"
2026-08-24 20:30:29,8855908410:368110,6008770,CFCTX22m,群益Telegram,多單進場,0,1,False,"【08.24 20:30:27】
【訊號通知】【群益】
【6008770】
《策略》CFCTX22m《倉位》0.0 -> 1.0"
2026-08-24 21:30:12,8855908410:368116,6008770,CFCTX18m,群益Telegram,多單平倉,1,0,False,"【08.24 21:30:11】
【訊號通知】【群益】
【6008770】
《策略》CFCTX18m《倉位》1.0 -> 0.0"
2026-08-24 21:30:14,8855908410:368117,6008770,CFCCPm,群益Telegram,多單平倉,1,0,False,"【08.24 21:30:11】
【訊號通知】【群益】
【6008770】
《策略》CFCCPm《倉位》1.0 -> 0.0"
2026-08-24 21:38:26,8855908410:368119,6008770,CFCTX19m,群益Telegram,多單平倉並轉空,1,-1,False,"【08.24 21:38:25】
【訊號通知】【群益】
【6008770】
《策略》CFCTX19m《倉位》1.0 -> -1.0"
2026-08-24 21:45:05,8855908410:368138,6008770,CFCTX22m,群益Telegram,多單平倉,1,0,False,"【08.24 21:45:03】
【訊號通知】【群益】
【6008770】
《策略》CFCTX22m《倉位》1.0 -> 0.0"
2026-08-24 22:00:05,8855908410:368143,6008770,CFC07m,群益Telegram,部位不變,0,-1,True,"【08.24 22:00:03】
【訊號通知】【群益】
【6008770】
《策略》CFC07m《倉位》0.0 -> -1.0"
2026-08-24 22:00:07,8855908410:368145,6008770,CFCTX16m,群益Telegram,部位不變,0,-1,True,"【08.24 22:00:04】
【訊號通知】【群益】
【6008770】
《策略》CFCTX16m《倉位》0.0 -> -1.0"
2026-08-25 00:15:19,8855908410:368154,6008770,CFCTX22m,群益Telegram,多單進場,0,1,False,"【08.25 00:15:17】
【訊號通知】【群益】
【6008770】
《策略》CFCTX22m《倉位》0.0 -> 1.0"
2026-08-25 02:24:00,8855908410:368155,6008770,CFCTX18m,群益Telegram,多單進場,0,1,False,"【08.25 02:23:59】
【訊號通知】【群益】
【6008770】
《策略》CFCTX18m《倉位》0.0 -> 1.0"
2026-08-25 04:23:25,8855908410:368160,6008770,CFCTX16m,群益Telegram,空單平倉,-1,0,False,"【08.25 04:23:23】
【訊號通知】【群益】
【6008770】
《策略》CFCTX16m《倉位》-1.0 -> 0.0"
2026-08-25 04:23:27,8855908410:368162,6008770,CFCTX18m,群益Telegram,多單平倉,1,0,False,"【08.25 04:23:23】
【訊號通知】【群益】
【6008770】
《策略》CFCTX18m《倉位》1.0 -> 0.0"
2026-08-25 09:24:58,8855908410:368227,6008770,CFCTX22m,群益Telegram,多單平倉,1,0,False,"【08.25 09:24:57】
【訊號通知】【群益】
【6008770】
《策略》CFCTX22m《倉位》1.0 -> 0.0"
2026-08-25 10:45:02,8855908410:368335,6008770,CFCTX20m,群益Telegram,空單進場,0,-1,False,"【08.25 10:45:01】
【訊號通知】【群益】
【6008770】
《策略》CFCTX20m《倉位》0.0 -> -1.0"
2026-08-25 12:14:19,8855908410:368424,6008770,CFC07m,群益Telegram,空單平倉,-1,0,False,"【08.25 12:14:18】
【訊號通知】【群益】
【6008770】
《策略》CFC07m《倉位》-1.0 -> 0.0"
2026-08-25 12:15:02,8855908410:368426,6008770,CFCPW3m,群益Telegram,多單進場,0,1,False,"【08.25 12:15:01】
【訊號通知】【群益】
【6008770】
《策略》CFCPW3m《倉位》0.0 -> 1.0"
2026-08-25 12:40:53,8855908410:368428,6008770,CFCTX20m,群益Telegram,空單平倉,-1,0,False,"【08.25 12:40:52】
【訊號通知】【群益】
【6008770】
《策略》CFCTX20m《倉位》-1.0 -> 0.0"
2026-08-25 13:23:10,8855908410:368432,6008770,CFCTX17m,群益Telegram,空單平倉並轉多,-1,1,False,"【08.25 13:23:01】
【訊號通知】【群益】
【6008770】
《策略》CFCTX17m《倉位》-1.0 -> 1.0"
2026-08-25 13:34:06,8855908410:368433,6008770,CFCTX19m,群益Telegram,空單平倉,-1,0,False,"【08.25 13:34:04】
【訊號通知】【群益】
【6008770】
《策略》CFCTX19m《倉位》-1.0 -> 0.0"
2026-08-25 16:30:30,8855908410:368598,6008770,CFCTX18m,群益Telegram,多單進場,0,1,False,"【08.25 16:30:29】
【訊號通知】【群益】
【6008770】
《策略》CFCTX18m《倉位》0.0 -> 1.0"
2026-08-25 16:30:32,8855908410:368599,6008770,CFCCPm,群益Telegram,多單進場,0,1,False,"【08.25 16:30:29】
【訊號通知】【群益】
【6008770】
《策略》CFCCPm《倉位》0.0 -> 1.0"
2026-08-25 18:52:33,8855908410:368880,6008770,CFCWIN01m,群益Telegram,多單進場,0,1,False,"【08.25 18:52:31】
【訊號通知】【群益】
【6008770】
《策略》CFCWN01m《倉位》0.0 -> 1.0"
2026-08-25 21:27:47,8855908410:368977,6008770,CFCCPm,群益Telegram,多單平倉並轉空,1,-1,False,"【08.25 21:27:46】
【訊號通知】【群益】
【6008770】
《策略》CFCCPm《倉位》1.0 -> -1.0"
2026-08-25 21:35:54,8855908410:368980,6008770,CFCCPm,群益Telegram,空單平倉並轉多,-1,1,False,"【08.25 21:35:52】
【訊號通知】【群益】
【6008770】
《策略》CFCCPm《倉位》-1.0 -> 1.0"
2026-08-25 21:45:58,8855908410:368984,6008770,CFCTX16m,群益Telegram,多單進場,0,1,False,"【08.25 21:45:57】
【訊號通知】【群益】
【6008770】
《策略》CFCTX16m《倉位》0.0 -> 1.0"
2026-08-25 21:46:00,8855908410:368986,6008770,CFC07m,群益Telegram,多單進場,0,1,False,"【08.25 21:45:57】
【訊號通知】【群益】
【6008770】
《策略》CFC07m《倉位》0.0 -> 1.0"
2026-08-25 22:23:45,8855908410:368992,6008770,CFCCPm,群益Telegram,多單平倉,1,0,False,"【08.25 22:23:22】
【訊號通知】【群益】
【6008770】
《策略》CFCCPm《倉位》1.0 -> 0.0"
2026-08-26 00:07:35,8855908410:368996,6008770,CFCTX22m,群益Telegram,多單進場,0,1,False,"【08.26 00:07:34】
【訊號通知】【群益】
【6008770】
《策略》CFCTX22m《倉位》0.0 -> 1.0"
2026-08-26 03:00:02,8855908410:368998,6008770,CFCTX20m,群益Telegram,多單進場,0,1,False,"【08.26 03:00:00】
【訊號通知】【群益】
【6008770】
《策略》CFCTX20m《倉位》0.0 -> 1.0"
2026-08-26 03:00:28,8855908410:368999,6008770,CFCCPm,群益Telegram,多單進場,0,1,False,"【08.26 03:00:27】
【訊號通知】【群益】
【6008770】
《策略》CFCCPm《倉位》0.0 -> 1.0"
2026-08-26 08:45:02,8855908410:369030,6008770,CFCPW3m,群益Telegram,多單平倉,1,0,False,"【08.26 08:45:01】
【訊號通知】【群益】
【6008770】
《策略》CFCPW3m《倉位》1.0 -> 0.0"
2026-08-26 08:45:53,8855908410:369033,6008770,CFCTX16m,群益Telegram,多單平倉,1,0,False,"【08.26 08:45:52】
【訊號通知】【群益】
【6008770】
《策略》CFCTX16m《倉位》1.0 -> 0.0"
