timestamp,action,side,price,pnl,quantity
2026-02-02 13:53:09,enter,bear,31611.0,,1
2026-02-03 10:12:05,exiting,bull,32068.0,-650.0,1
2026-02-03 10:12:05,enter,bear,32068.0,,1
2026-02-04 10:02:05,exiting,bear,32408.0,-340.0,1
2026-02-04 10:02:05,enter,bull,32408.0,,1
2026-02-04 23:36:03,exiting,bull,32238.0,-170.0,1
2026-02-04 23:36:03,enter,bear,32238.0,,1
2026-02-06 18:56:07,exiting,bear,32142.0,96.0,1
2026-02-06 18:56:07,enter,bull,32142.0,,1
2026-02-23 13:09:06,exiting,bull,33948.0,18060.0,1
2026-02-23 13:09:06,enter,bear,33948.0,,1
2026-02-24 09:21:05,exiting,bear,34403.0,-4550.0,1
2026-02-24 09:21:06,enter,bull,34403.0,,1
2026-02-26 22:46:10,exiting,bull,35379.0,9760.0,1
2026-02-26 22:46:11,enter,bear,35379.0,,1
2026-03-02 09:04:05,exiting,bear,35027.0,3520.0,1
2026-03-02 09:04:06,enter,bull,35027.0,,1
2026-03-03 10:01:03,exiting,bull,34796.0,-2310.0,1
2026-03-05 03:41:05,enter,bull,34796.0,,1
2026-03-05 09:51:07,exiting,bull,33868,,1
2026-03-05 09:51:07,enter,bear,33868,,1
2026-03-06 10:14:05,exiting,bear,33740.0,1280.0,1
2026-03-06 10:14:06,enter,bull,33740.0,,1
2026-03-06 19:06:08,exiting,bull,33258.0,－4820.0,1
2026-03-06 19:06:08,enter,bear,33258.0,,1
2026-03-09 23:27:05,exiting,bear,32583.0,6750.0,1
2026-03-09 23:27:06,enter,bull,32583.0,,1
2026-03-10 10:52:06,exiting,bull,32854.0,2710.0,1
2026-03-10 10:52:07,enter,bear,32854.0,,1
2026-03-11 10:54:05,exiting,bear,33930.0,-10760.0,1
2026-03-11 10:54:05,enter,bull,33930.0,,1
2026-03-12 21:21:33,exiting,bull,33471.0,-4590.0,1
2026-03-12 21:21:33,enter,bear,33471.0,,2
2026-03-13 09:34:06,exiting,bear,33320.0,1510.0,1
2026-03-13 09:34:07,enter,bull,33320.0,,1
2026-03-18 20:45:00,exiting,bull,34206.0,8960.0,1
2026-03-18 20:45:00,enter,bear,34206.0,,1
2026-03-18 20:45:00,exiting,bear,33285.0,8960.0,1
2026-03-23 19:07:04,enter,bull,33285.0,,1
