trade_no,date,single_pnl,single_points,base_mdd_pnl,base_mdd_points,loss_streak_before,win_streak_before,post_mdd_zero_index,plan1_quantity,plan1_cum_pnl,plan1_mdd_pnl,plan2_quantity,plan2_cum_pnl,plan2_mdd_pnl,plan3_quantity,plan3_cum_pnl,plan3_mdd_pnl
19,2025-05-09,35250.0,3525.0,0.0,0.0,3,0,0,1,103050.0,0.0,1,103050.0,0.0,1,103050.0,0.0
20,2025-05-13,2250.0,225.0,0.0,0.0,0,1,1,1,105300.0,0.0,1,105300.0,0.0,1,105300.0,0.0
21,2025-05-13,11650.0,1165.0,0.0,0.0,0,2,2,1,116950.0,0.0,1,116950.0,0.0,1,116950.0,0.0
22,2025-05-19,-250.0,-25.0,-250.0,-25.0,0,3,3,1,116700.0,-250.0,1,116700.0,-250.0,1,116700.0,-250.0
23,2025-05-19,4450.0,445.0,0.0,0.0,1,0,0,1,121150.0,0.0,1,121150.0,0.0,1,121150.0,0.0
24,2025-05-20,6150.0,615.0,0.0,0.0,0,1,1,1,127300.0,0.0,1,127300.0,0.0,1,127300.0,0.0
25,2025-05-20,-2350.0,-235.0,-2350.0,-235.0,0,2,2,1,124950.0,-2350.0,1,124950.0,-2350.0,1,124950.0,-2350.0
26,2025-05-21,-7800.0,-780.0,-10150.0,-1015.0,1,0,3,1,117150.0,-10150.0,1,117150.0,-10150.0,1,117150.0,-10150.0
27,2025-05-21,-5800.0,-580.0,-15950.0,-1595.0,2,0,0,1,111350.0,-15950.0,1,111350.0,-15950.0,1,111350.0,-15950.0
28,2025-05-22,650.0,65.0,-15300.0,-1530.0,3,0,0,1,112000.0,-15300.0,1,112000.0,-15300.0,1,112000.0,-15300.0
29,2025-05-22,-6200.0,-620.0,-21500.0,-2150.0,0,1,0,1,105800.0,-21500.0,1,105800.0,-21500.0,1,105800.0,-21500.0
