timestamp,action,side,price,note,reference_side,reference_entry_price,reference_close,reference_pnl,ma_n200,ma_p200
2026-05-14 04:13:05,exit,bear,41742.0,空單出場：價格 41742.0，進場價 41711.0，持有至 2026-05-14 03:51:03，出場原因：停損，最新H方向=bull，最新H單進場價=41807.0，最新H單浮盈虧=-65.0，MA_N200=41339.2010416667，MA_P200=41739.2010416667,bull,41807.0,41742.0,-65.0,41339.2010416667,41739.2010416667
2026-05-14 04:14:01,enter,bear,41733.0,空單進場：價格 41733.0，原因：H多單虧損後跌破P200，最新H單進場價=41807.0，最新H單浮盈虧=-74.0，參考方向=bull，MA_N200=41339.7010416667，MA_P200=41739.7010416667,bull,41807.0,41733.0,-74.0,41339.7010416667,41739.7010416667
2026-05-14 04:26:24,exit,bear,41748.0,空單出場：價格 41748.0，進場價 41733.0，持有至 2026-05-14 04:14:01，出場原因：停損，最新H方向=bull，最新H單進場價=41807.0，最新H單浮盈虧=-59.0，MA_N200=41346.4541666667，MA_P200=41746.4541666667,bull,41807.0,41748.0,-59.0,41346.4541666667,41746.4541666667
2026-05-14 04:27:23,enter,bear,41744.0,空單進場：價格 41744.0，原因：H多單虧損後跌破P200，最新H單進場價=41807.0，最新H單浮盈虧=-63.0，參考方向=bull，MA_N200=41347.0208333333，MA_P200=41747.0208333333,bull,41807.0,41744.0,-63.0,41347.0208333333,41747.0208333333
2026-05-14 04:28:10,exit,bear,41750.0,空單出場：價格 41750.0，進場價 41744.0，持有至 2026-05-14 04:27:23，出場原因：停損，最新H方向=bull，最新H單進場價=41807.0，最新H單浮盈虧=-57.0，MA_N200=41347.5989583333，MA_P200=41747.5989583333,bull,41807.0,41750.0,-57.0,41347.5989583333,41747.5989583333
2026-05-14 04:29:21,enter,bear,41737.0,空單進場：價格 41737.0，原因：H多單虧損後跌破P200，最新H單進場價=41807.0，最新H單浮盈虧=-70.0，參考方向=bull，MA_N200=41348.153125，MA_P200=41748.153125,bull,41807.0,41737.0,-70.0,41348.153125,41748.153125
2026-05-14 04:34:05,exit,bear,41752.0,空單出場：價格 41752.0，進場價 41737.0，持有至 2026-05-14 04:29:21，出場原因：停損，最新H方向=bull，最新H單進場價=41807.0，最新H單浮盈虧=-55.0，MA_N200=41350.55625，MA_P200=41750.55625,bull,41807.0,41752.0,-55.0,41350.55625,41750.55625
2026-05-14 04:37:01,enter,bear,41750.0,空單進場：價格 41750.0，原因：H多單虧損後跌破P200，最新H單進場價=41807.0，最新H單浮盈虧=-57.0，參考方向=bull，MA_N200=41351.8927083333，MA_P200=41751.8927083333,bull,41807.0,41750.0,-57.0,41351.8927083333,41751.8927083333
2026-05-14 04:38:07,exit,bear,41754.0,空單出場：價格 41754.0，進場價 41750.0，持有至 2026-05-14 04:37:01，出場原因：停損，最新H方向=bull，最新H單進場價=41807.0，最新H單浮盈虧=-53.0，MA_N200=41352.321875，MA_P200=41752.321875,bull,41807.0,41754.0,-53.0,41352.321875,41752.321875
2026-05-14 04:43:04,enter,bear,41751.0,空單進場：價格 41751.0，原因：H多單虧損後跌破P200，最新H單進場價=41807.0，最新H單浮盈虧=-56.0，參考方向=bull，MA_N200=41354.403125，MA_P200=41754.403125,bull,41807.0,41751.0,-56.0,41354.403125,41754.403125
2026-05-14 04:45:01,exit,bear,41756.0,空單出場：價格 41756.0，進場價 41751.0，持有至 2026-05-14 04:43:04，出場原因：停損，最新H方向=bull，最新H單進場價=41807.0，最新H單浮盈虧=-51.0，MA_N200=41355.1739583333，MA_P200=41755.1739583333,bull,41807.0,41756.0,-51.0,41355.1739583333,41755.1739583333
2026-05-14 04:46:04,enter,bear,41746.0,空單進場：價格 41746.0，原因：H多單虧損後跌破P200，最新H單進場價=41807.0，最新H單浮盈虧=-61.0，參考方向=bull，MA_N200=41355.5520833333，MA_P200=41755.5520833333,bull,41807.0,41746.0,-61.0,41355.5520833333,41755.5520833333
2026-05-14 04:49:00,exit,bear,41763.0,空單出場：價格 41763.0，進場價 41746.0，持有至 2026-05-14 04:46:04，出場原因：停損，最新H方向=bull，最新H單進場價=41807.0，最新H單浮盈虧=-44.0，MA_N200=41356.6125，MA_P200=41756.6125,bull,41807.0,41763.0,-44.0,41356.6125,41756.6125
2026-05-14 04:51:02,enter,bear,41756.0,空單進場：價格 41756.0，原因：H多單虧損後跌破P200，最新H單進場價=41807.0，最新H單浮盈虧=-51.0，參考方向=bull，MA_N200=41357.2614583333，MA_P200=41757.2614583333,bull,41807.0,41756.0,-51.0,41357.2614583333,41757.2614583333
2026-05-14 04:53:10,exit,bear,41758.0,空單出場：價格 41758.0，進場價 41756.0，持有至 2026-05-14 04:51:02，出場原因：停損，最新H方向=bull，最新H單進場價=41807.0，最新H單浮盈虧=-49.0，MA_N200=41357.8854166667，MA_P200=41757.8854166667,bull,41807.0,41758.0,-49.0,41357.8854166667,41757.8854166667
2026-05-14 04:57:34,enter,bear,41758.0,空單進場：價格 41758.0，原因：H多單虧損後跌破P200，最新H單進場價=41807.0，最新H單浮盈虧=-49.0，參考方向=bull，MA_N200=41359.0270833333，MA_P200=41759.0270833333,bull,41807.0,41758.0,-49.0,41359.0270833333,41759.0270833333
2026-05-14 08:46:01,exit,bear,41899.0,空單出場：價格 41899.0，進場價 41758.0，持有至 2026-05-14 04:57:34，出場原因：停損，最新H方向=bull，最新H單進場價=41807.0，最新H單浮盈虧=92.0，MA_N200=41360.1270833333，MA_P200=41760.1270833333,bull,41807.0,41899.0,92.0,41360.1270833333,41760.1270833333
2026-05-14 09:44:01,enter,bear,41785.0,空單進場：價格 41785.0，原因：H多單虧損後跌破P200，最新H單進場價=41807.0，最新H單浮盈虧=-22.0，參考方向=bull，MA_N200=41393.584375，MA_P200=41793.584375,bull,41807.0,41785.0,-22.0,41393.584375,41793.584375
2026-05-14 09:51:00,exit,bear,41812.0,空單出場：價格 41812.0，進場價 41785.0，持有至 2026-05-14 09:44:01，出場原因：停損，最新H方向=bear，最新H單進場價=41722.0，最新H單浮盈虧=-90.0，MA_N200=41396.0479166667，MA_P200=41796.0479166667,bear,41722.0,41812.0,-90.0,41396.0479166667,41796.0479166667
2026-05-15 09:20:59,enter,bear,42241.0,空單進場：價格 42241.0，原因：H多單虧損後跌破P200，最新H單進場價=42289.0，最新H單浮盈虧=-48.0，參考方向=bull，MA_N200=41854.7708333333，MA_P200=42254.7708333333,bull,42289.0,42241.0,-48.0,41854.7708333333,42254.7708333333
