timestamp,action,side,quantity,entry_price,close,guard_points,h_position_timestamp,h_side,h_entry_price,h_unrealized_points,consecutive_loss_count,reason
2026-06-02 17:49:15,enter,bull,1,46370.0,46370.0,0,2026-06-02 09:27:01,bear,45614.0,-756.0,0,H 浮虧達 756.0 點，超過 175 點；連輸2次跟單未啟動，保護帳號反向進場
2026-06-03 21:48:03,enter,bear,1,46430.0,46430.0,0,2026-06-02 22:43:05,bull,46607.0,-177.0,1,H 浮虧達 177.0 點，超過 175 點；每筆 H 持倉獨立保護，同 H 口數 1 口反向進場
2026-06-03 21:50:04,exit,bear,1,46430.0,46379.0,51.0,2026-06-03 21:49:04,bear,46362.0,-17.0,2,H 主單已出場/反向/換倉，175點反向保護同步出場
2026-06-03 22:15:22,enter,bull,2,46585.0,46585.0,0,2026-06-03 21:49:04,bear,46370.0,-215.0,2,H 浮虧達 215.0 點，超過 175 點；每筆 H 持倉獨立保護，同 H 口數 2 口反向進場
2026-06-03 22:23:02,enter,bull,2,46586.0,46586.0,0,2026-06-03 21:49:04,bear,46370.0,-216.0,2,H 浮虧達 216.0 點，超過 175 點；每筆 H 持倉獨立保護，同 H 口數 2 口反向進場
2026-06-03 22:25:02,enter,bull,2,46561.0,46561.0,0,2026-06-03 21:49:04,bear,46370.0,-191.0,2,H 浮虧達 191.0 點，超過 175 點；每筆 H 持倉獨立保護，同 H 口數 2 口反向進場
2026-06-05 02:03:03,exit,bull,2,46545.0,46475.0,-70.0,2026-06-05 02:02:04,bull,46477.0,-2.0,3,H 主單已出場/反向/換倉，175點遠月鎖損同步出場
2026-06-05 04:20:03,enter,bear,2,46301.0,46301.0,0,2026-06-05 02:02:04,bull,46477.0,-176.0,3,H 浮虧達 176.0 點，超過 175 點；每筆 H 持倉獨立鎖損，同 H 口數 2 口遠月反向進場
2026-06-05 04:26:11,enter,bear,2,46287.0,46287.0,0,2026-06-05 02:02:04,bull,46477.0,-190.0,3,H 浮虧達 190.0 點，超過 175 點；每筆 H 持倉獨立鎖損，同 H 口數 2 口遠月反向進場
2026-06-05 04:30:02,enter,bear,2,46300.0,46300.0,0,2026-06-05 02:02:04,bull,46477.0,-177.0,3,H 浮虧達 177.0 點，超過 175 點；每筆 H 持倉獨立鎖損，同 H 口數 2 口遠月反向進場
2026-06-05 04:36:05,enter,bear,2,46301.0,46301.0,0,2026-06-05 02:02:04,bull,46477.0,-176.0,3,H 浮虧達 176.0 點，超過 175 點；每筆 H 持倉獨立鎖損，同 H 口數 2 口遠月反向進場
2026-06-05 04:48:03,enter,bear,2,46290.0,46290.0,0,2026-06-05 02:02:04,bull,46477.0,-187.0,3,H 浮虧達 187.0 點，超過 175 點；每筆 H 持倉獨立鎖損，同 H 口數 2 口遠月反向進場
2026-06-05 08:46:00,enter,bear,2,45688.0,45688.0,0,2026-06-05 02:02:04,bull,46477.0,-789.0,3,H 浮虧達 789.0 點，超過 175 點；每筆 H 持倉獨立鎖損，同 H 口數 2 口遠月反向進場
2026-06-05 09:23:00,exit,bear,2,45688.0,44864.0,824.0,2026-06-05 09:22:02,bear,44932.0,68.0,4,H 主單已出場/反向/換倉，175點遠月鎖損同步出場
2026-06-05 09:32:00,enter,bull,5,45170.0,45170.0,0,2026-06-05 09:22:02,bear,44932.0,-238.0,4,H 浮虧達 238.0 點，超過 175 點；每筆 H 持倉獨立鎖損，同 H 口數 5 口遠月反向進場
2026-06-05 10:25:01,exit,bull,5,45170.0,45639.0,469.0,2026-06-05 09:22:02,bear,44922.0,-717.0,4,H 主單已出場/反向/換倉，175點遠月鎖損同步出場
2026-06-05 10:26:00,enter,bull,3,45661.0,45661.0,0,2026-06-05 09:22:02,bear,44922.0,-739.0,4,H 浮虧達 739.0 點，超過 175 點；每筆 H 持倉獨立鎖損，同 H 口數 3 口遠月反向進場
2026-06-05 15:02:03,exit,bull,3,45661.0,45084.0,-577.0,2026-06-05 15:01:17,bull,45128.0,-44.0,5,H 主單已出場/反向/換倉，175點遠月鎖損同步出場
2026-06-05 16:05:03,enter,bear,3,44919.0,44919.0,0,2026-06-05 15:01:17,bull,45126.0,-207.0,5,H 浮虧達 207.0 點，超過 175 點；每筆 H 持倉獨立鎖損，同 H 口數 3 口遠月反向進場
2026-06-05 21:02:03,exit,bear,3,44919.0,44678.0,241.0,2026-06-05 21:01:06,bear,44625.0,-53.0,6,H 主單已出場/反向/換倉，175點遠月鎖損同步出場
