timestamp,action,side,quantity,entry_price,close,h_position_timestamp,h_entry_price,h_unrealized_points,mxf_time,session,tx_bvav,mtx_bvav,mtx_bvav_avg,tx_support,mtx_support,avg_support,mxf_signal,mxf_trend,rule,follow_points,max_follow_points,reason
2026-05-29 20:29:16,enter,bull,1,45388.0,45388.0,2026-05-29 10:16:07,45212.0,176.0,2026-05-29 10:16:00,morning,729.0,2271.0,1418.0,729.0,2271.0,1418.0,bull,gold,morning_avg_supports_h_stop_250,0,0,早盤 H 新倉且 mtx_bvav_avg 順著 H，第二帳號同向跟單；逆行 250 點停損，H 出場同步出場
2026-06-02 09:31:16,enter,bear,1,45918.0,45918.0,2026-06-02 09:27:01,45614.0,-304.0,2026-06-02 09:27:00,morning,-661.0,-1632.0,-385.0,661.0,1632.0,385.0,bear,death,morning_avg_supports_h_stop_250,0,0,早盤 H 新倉且 mtx_bvav_avg 順著 H，第二帳號同向跟單；逆行 250 點停損，H 出場同步出場
2026-06-02 15:01:17,exit,bear,1,45918.0,46213.0,2026-06-02 09:27:01,45614.0,-599.0,2026-06-02 09:27:00,morning,-661.0,-1632.0,-385.0,661.0,1632.0,385.0,bear,death,morning_avg_supports_h_stop_250,-295.0,540.0,H/MXF 順勢跟單逆行達 250 點停損
