timestamp,signal,side,entry_price,close,unrealized_points,reason,tf_score,mxf_signal,mxf_trend
2026-05-15 23:06:58,follow_entry,bear,40706.0,40706.0,0.0,"profit follow H1 +1260.0pts, confirm 3/3",3,bear,death
2026-05-15 23:33:00,exit,bear,40706.0,40868.0,-162.0,profit-follow stop loss -160pts,0,none,gold
2026-05-18 20:46:01,follow_entry,bull,41406.0,41406.0,0.0,"profit follow H1 +1110.0pts, confirm 2/3; sync qty 1",2,bull,gold
2026-05-18 21:40:07,exit,bull,41406.0,41219.0,-187.0,profit-follow stop loss -160pts,0,bear,death
2026-05-19 02:20:57,follow_entry,bear,40578.0,40578.0,0.0,"profit follow H1 +242.0pts, confirm 3/3; sync qty 1",3,bear,death
2026-05-19 03:02:01,exit,bear,40578.0,40827.0,-249.0,profit-follow stop loss -160pts,0,bear,gold
2026-05-19 20:27:59,entry,bear,40061.0,40061.0,0.0,"reverse H1 loss: 5 timeframe invalidation: 1,3,5,10,15; MXF confirms opposite pressure; sync qty 1",5,bear,death
2026-05-19 21:37:00,exit,bear,40061.0,40338.0,-277.0,second-account stop loss -220pts,0,bear,gold
