h_entry_time,h_exit_time,h_side,h_points,entry_time,exit_time,hedge_side,entry_price,exit_price,entry_avg,exit_avg,invalid_score,guard_points,combined_points,reason
2026-05-06 09:52:05,2026-05-06 23:26:05,bear,-577.0,2026-05-06 17:05:00,2026-05-06 22:59:00,bull,41749.0,41864.0,1222.0,999.0,4,112.0,-465.0,exit: H strategy ended
2026-05-12 15:01:08,2026-05-12 22:28:05,bull,-330.0,2026-05-12 19:24:00,2026-05-12 22:28:00,bear,41417.0,41209.0,-1214.0,-1123.0,2,205.0,-125.0,exit: H strategy ended
2026-05-19 15:01:05,2026-05-19 22:18:02,bull,-277.0,2026-05-19 17:22:00,2026-05-19 22:18:00,bear,40229.0,39966.0,-2229.0,-2070.0,4,260.0,-17.0,exit: H strategy ended
