h_entry_time,h_exit_time,h_side,h_points,entry_time,exit_time,add_side,entry_price,exit_price,entry_avg,exit_avg,add_points,combined_points,reason
2026-04-23 22:55:05,2026-05-06 09:52:05,bull,3132.0,2026-04-30 16:12:00,2026-04-30 22:03:00,bull,39613.0,39658.0,858.0,720.0,42.0,3174.0,avg reverted
2026-05-15 09:33:02,2026-05-18 08:45:50,bear,1670.0,2026-05-15 11:32:00,2026-05-15 18:21:00,bear,41563.0,40816.0,-2894.0,-742.0,744.0,2414.0,avg reverted
2026-05-18 08:45:51,2026-05-18 22:36:05,bull,524.0,2026-05-18 10:15:00,2026-05-18 15:32:00,bull,40696.0,41016.0,1597.0,-292.0,317.0,841.0,avg reverted
2026-05-18 22:36:07,2026-05-19 15:01:05,bear,577.0,2026-05-19 10:24:00,2026-05-19 13:44:00,bear,40418.0,40254.0,-1755.0,-2509.0,161.0,738.0,H ended
